program_name,state,city,zip_codes,incentive_type,property_type,description,eligibility_criteria,incentive_amount,valid_until,updated_at,review_needed,program_links
JEA - Commercial Energy Efficiency Rebate Program,Florida,,,Rebates,Utility,"JEA offers a variety of rebates to commercial customers for purchasing and installing energy-efficient equipment in eligible facilities. Some incentives are awarded on a flat rebate amount while others are calculated based on capacity, efficiency, or energy savings. All equipment must meet or exceed the stated program efficiency requirements. Measures not covered by a prescribed incentive may be eligible for the custom incentive amount. Contact JEA or view the program website listed above for more information on eligible equipment, facilities, or measures.",,,,2026-05-20,Yes,https://programs.dsireusa.org/system/program/detail/4608
Residential Energy Conservation Subsidy Exclusion (Corporate),Florida,,,Tax Credits,Federal,"According to Section 136 of the U.S. Code, energy conservation subsidies provided (directly or indirectly) to customers by public utilities* are non-taxable. This exclusion does not apply to electricity-generating systems registered as ""qualifying facilities"" under the Public Utility Regulatory Policies Act of 1978 (PURPA). If a taxpayer claims federal tax credits or deductions for the energy conservation property, the investment basis for the purpose of claiming the deduction or tax credit must be reduced by the value of the energy conservation subsidy (i.e., a taxpayer may not claim a tax credit for an expense that the taxpayer ultimately did not pay). The term ""energy conservation measure"" includes installations or modifications primarily designed to reduce consumption of electricity...",,,,2026-05-20,Yes,https://programs.dsireusa.org/system/program/detail/727
Residential Energy Conservation Subsidy Exclusion (Personal),Florida,,,Tax Credits,Federal,"According to Section 136 of the U.S. Code, energy conservation subsidies provided (directly or indirectly) to customers by public utilities* are non-taxable. This exclusion does not apply to electricity-generating systems registered as ""qualifying facilities"" under the Public Utility Regulatory Policies Act of 1978 (PURPA). If a taxpayer claims federal tax credits or deductions for the energy conservation property, the investment basis for the purpose of claiming the deduction or tax credit must be reduced by the value of the energy conservation subsidy (i.e., a taxpayer may not claim a tax credit for an expense that the taxpayer ultimately did not pay). The term ""energy conservation measure"" includes installations or modifications primarily designed to reduce consumption of electricity...",,,,2026-05-20,Yes,https://programs.dsireusa.org/system/program/detail/666
City of Tallahassee Utilities - Grant Programs,Florida,,,Grants,Utility,The City of Tallahassee Utilities offers several grant programs for its customers. These programs include: Ceiling Insulation Grants Code Enforcement Rehabilitation Grants Energy-Efficiency Retrofit Grants The City of Tallahassee has also received funding from the State of Florida to fund the entire cost of connecting residents to the city sewer system (rather than reliance on septic tanks). Contact the utility or visit the program website for more details.,,,,2026-05-20,Yes,https://programs.dsireusa.org/system/program/detail/1774
City of Tallahassee Utilities - Solar Loans,Florida,,,Finance Solutions,Utility,"The City of Tallahassee Utilities offers loans with an interest rate of 5% for a variety of energy-saving measures, including photovoltaic (PV) systems and solar water-heating systems. Under this program, customers may borrow up to $20,000 for PV systems. Various other systems can qualify for loans. Loan payments are to be made on monthly utility bills. Customers must first get a vendor price or a contractor's proposal and send it to the utility Energy Services. A city energy audit is required for all solar technology installations. Installation work should not begin until after a signed Loan Promissory Note has been received. Solar water heating systems must be Florida Solar Energy Center (FSEC) certified indirect or drain-back systems. Loans will not be awarded if the system is replac...",,"$20,000",,2026-05-20,No,https://programs.dsireusa.org/system/program/detail/1777
Miami-Dade County - Green Building Expedited Plan Review,Florida,,,,Local,"In an effort to promote environmentally sensitive design and construction, the Miami-Dade County Commissioners passed an ordinance in June 2005 to expedite the permitting process for “green” buildings certified by a recognized environmental rating agency. Commercial, industrial, and residential projects are all eligible as long as they are located in unincorporated Miami-Dade County and the City of West Miami. Additionally, solar water heating and solar photovoltaic projects are included in the ""fast track"" for permitting review. Project must meet the following criteria: 1. Limited to new construction of residential, commercial and industrial projects. 2. Additions, alterations, repairs and the new construction of accessory structures are not eligible for the expedited program. 3. The p...",,"$50,000",,2026-05-20,Yes,https://programs.dsireusa.org/system/program/detail/3128
City of Tallahassee Utilities - Efficiency Loans,Florida,,,Finance Solutions,Utility,"The City of Tallahassee Utilities offers loans with an interest rate of 5% for more than 25 different energy-saving measures. Under this program, residential and commercial customers may borrow up to $15,000 for varying energy efficiency measures. For Solar Photovoltaics or ENERGY STAR roofing, the maximum loan amount is $20,000 so long as no other loan measures are bundled with these. For detailed information contact the utility.",,"$15,000, $20,000",,2026-05-20,No,https://programs.dsireusa.org/system/program/detail/4225
Miami-Dade County - Florida PACE Finance Programs,Florida,,,Finance Solutions,Local,"Note: In 2010, the Federal Housing Finance Agency (FHFA), which has authority over mortgage underwriters Fannie Mae and Freddie Mac, directed these enterprises against purchasing mortgages of homes with a PACE lien due to its senior status above a mortgage. Most residential PACE activity subsided following this directive; however, some residential PACE programs are now operating with loan loss reserve funds, appropriate disclosures, or other protections meant to address FHFA's concerns. Commercial PACE programs were not directly affected by FHFA’s actions, as Fannie Mae and Freddie Mac do not underwrite commercial mortgages. Visit PACENation for more information about PACE financing and a comprehensive list of all PACE programs across the country. In November 2010, the Miami-Dade County...",,,,2026-05-20,Yes,https://programs.dsireusa.org/system/program/detail/4932
Solar and Energy Loan Fund (SELF),Florida,,,Finance Solutions,Local,"The non-profit Solar and Energy Loan Fund (SELF) provides unsecured personal loans to qualifying Florida Homeowners for: SELF gives qualifying homeowners the ability to secure financing for: Weatherization and insulation Replacement of inefficient air-conditioning systems Solar thermal and solar photovoltaic (PV) systems Roofs, windows, doors, and hurricane shutters disability products and aging in place SELF provides home improvement loans up to $55,000. History In June 2010, St. Lucie County received a grant award through the U.S. Department of Energy’s Energy Efficiency Block Grant Program (EECBG). The $2.9 million award was used to kick-start the SELF pilot loan program, which began taking applications and making loans in early 2011. SELF has now expanded statewide. SELF is a Commun...",,"$55,000, $2.9",,2026-05-20,No,https://programs.dsireusa.org/system/program/detail/4977
City of Lauderhill - Revolving Loan Program,Florida,,,Finance Solutions,Local,"The City of Lauderhill offers interest-free loans for EnergyStar appliances through a municipal revolving loan program. Loans from $400 to $2,500 are available to homeowners purchasing new Energy Star-certified appliances from eligible retailers. Tankless water heaters, solar photovoltaic systems, and solar water heating systems are also eligible for the loan program. Loan funds have a one or two-year repayment plan. Eligibility will be determined within 10 business days. Loan funds are made payable directly to the retailer within a week of the time the final loan documents are signed. A check will be made payable to the retailer; you must have a quote or invoice from a retailer with the name of the retailer and address. The check will be payable to the contractor with a 10% holdback fo...",,"$400, $2,500",,2026-05-20,No,https://programs.dsireusa.org/system/program/detail/5223
